,obs,pred
2025-07-28 02:00:00,9958.1475,9723.43229412634
2025-07-28 03:00:00,9493.266666666666,9820.914639218869
2025-07-28 04:00:00,8446.448333333334,8524.890190552494
2025-07-28 05:00:00,7901.886666666666,7688.775308246285
2025-07-28 06:00:00,7313.6225,7536.705937251891
2025-07-28 07:00:00,6917.975833333334,7013.51841128533
2025-07-28 08:00:00,6908.139166666667,6893.996454007029
2025-07-28 09:00:00,7130.587500000001,7337.132509814442
2025-07-28 10:00:00,7957.8,8047.059150439978
2025-07-28 11:00:00,9322.200833333334,9364.466477263024
2025-07-28 12:00:00,10595.435,10760.321631703098
2025-07-28 13:00:00,11016.614166666666,11160.288664059832
2025-07-28 14:00:00,10854.441666666668,10808.547842846789
2025-07-28 15:00:00,10618.94,10523.45634765306
2025-07-28 16:00:00,10041.065,10138.44122735444
2025-07-28 17:00:00,9410.48,9482.284834307367
2025-07-28 18:00:00,8865.135,8922.337032443855
2025-07-28 19:00:00,8460.248333333333,8498.595132053631
2025-07-28 20:00:00,8059.464166666666,8166.138697287696
2025-07-28 21:00:00,7722.913333333334,7678.063010158673
2025-07-28 22:00:00,7583.634166666667,7528.520601879214
2025-07-28 23:00:00,7812.41,7696.796959151738
2025-07-29 00:00:00,8218.985833333334,8457.45092221112
2025-07-29 01:00:00,9357.729166666666,9232.847572652294
2025-07-29 02:00:00,10424.33,10323.643407402771
2025-07-29 03:00:00,10032.978333333334,10210.081060841789
2025-07-29 04:00:00,8832.421666666667,8854.029813589466
2025-07-29 05:00:00,7822.255833333334,7763.920085484976
2025-07-29 06:00:00,7133.311666666667,7208.161679466047
2025-07-29 07:00:00,6623.801666666666,6839.196877970985
2025-07-29 08:00:00,6509.555,6622.340546504561
2025-07-29 09:00:00,6972.364166666666,7008.586942600713
2025-07-29 10:00:00,7984.1575,8019.847383988177
2025-07-29 11:00:00,9358.846666666666,9414.677154922427
2025-07-29 12:00:00,10602.3125,10726.996224021686
2025-07-29 13:00:00,11000.115,11127.843753853587
2025-07-29 14:00:00,10821.513333333334,10823.073770678313
2025-07-29 15:00:00,10581.5075,10558.699994010685
2025-07-29 16:00:00,10146.350833333334,10181.050282667074
2025-07-29 17:00:00,9598.433333333332,9640.346647100996
2025-07-29 18:00:00,9065.738333333333,9106.394684541012
2025-07-29 19:00:00,8631.558333333332,8689.129066341562
2025-07-29 20:00:00,8205.779166666667,8356.709610102913
2025-07-29 21:00:00,7688.439166666667,7810.270804242866
2025-07-29 22:00:00,7487.197499999999,7400.64922200689
2025-07-29 23:00:00,7497.705000000001,7547.396234825114
2025-07-30 00:00:00,7663.054166666666,7866.609048416882
2025-07-30 01:00:00,8302.641666666666,8365.288810619739
2025-07-30 02:00:00,9143.941666666668,9080.928556099578
2025-07-30 03:00:00,9288.249166666666,9276.178355041535
2025-07-30 04:00:00,8687.4625,8510.677937880264
2025-07-30 05:00:00,7519.023333333333,7698.034833719679
2025-07-30 06:00:00,7153.712500000001,6915.869474420652
2025-07-30 07:00:00,6826.05,7146.5240641043365
2025-07-30 08:00:00,6923.340833333333,7037.344090334369
2025-07-30 09:00:00,7333.399166666667,7550.181575771235
2025-07-30 10:00:00,8264.955,8331.813133567988
2025-07-30 11:00:00,9407.393333333332,9558.63314509076
2025-07-30 12:00:00,10285.878333333334,10513.407278012171
2025-07-30 13:00:00,10397.225833333334,10580.931917368483
2025-07-30 14:00:00,10032.36,10163.36020506302
2025-07-30 15:00:00,9698.520833333334,9777.751648448793
2025-07-30 16:00:00,9321.470833333333,9403.221920331058
2025-07-30 17:00:00,8847.885,8938.639600791454
2025-07-30 18:00:00,8409.786666666667,8433.881650165555
2025-07-30 19:00:00,7989.451666666667,8064.480634537231
2025-07-30 20:00:00,7534.386666666666,7782.584183926624
2025-07-30 21:00:00,7167.341666666667,7289.182644027306
2025-07-30 22:00:00,6925.8358333333335,7067.2049952563975
2025-07-30 23:00:00,6946.991666666666,7031.590775929011
2025-07-31 00:00:00,7050.169166666667,7305.577344358692
2025-07-31 01:00:00,7391.908333333333,7575.616622586408
2025-07-31 02:00:00,8028.294166666667,7927.878672134328
2025-07-31 03:00:00,8197.84,8160.461430689763
2025-07-31 04:00:00,7415.0325,7479.954878977871
2025-07-31 05:00:00,6533.62,6513.604576532133
2025-07-31 06:00:00,5983.469166666667,6025.729681098398
2025-07-31 07:00:00,5887.462500000001,5919.378775623179
2025-07-31 08:00:00,5967.7475,6186.731633333593
2025-07-31 09:00:00,6448.661666666667,6606.908795522657
2025-07-31 10:00:00,7224.38,7495.819244004619
2025-07-31 11:00:00,8554.100833333334,8546.90757012593
2025-07-31 12:00:00,9499.909166666666,9854.412580527403
2025-07-31 13:00:00,9772.8025,9960.203220454436
2025-07-31 14:00:00,9614.610833333334,9731.104135209487
2025-07-31 15:00:00,9342.738333333333,9494.632362390557
2025-07-31 16:00:00,8943.6225,9144.597691355122
2025-07-31 17:00:00,8504.203333333333,8634.325317298406
2025-07-31 18:00:00,8069.665833333333,8114.125686017432
2025-07-31 19:00:00,7708.6875,7687.122716977857
2025-07-31 20:00:00,7382.493333333333,7505.465123529393
2025-07-31 21:00:00,7088.711666666667,7221.623745882316
2025-07-31 22:00:00,7031.815833333334,7134.657882609445
2025-07-31 23:00:00,7190.288333333334,7336.610682073336
