UMAP_1,UMAP_2,kmeans_cluster
10.883851,-1.8155694,4
2.3984256,-3.6603112,2
1.8238889,-5.414748,2
-0.26744154,6.5234494,1
8.707232,-5.6490912,2
0.505809,-2.0886776,2
12.83041,-2.4943967,4
12.427682,-2.3185573,4
12.860253,-2.1030731,4
8.675665,-5.9869003,2
2.593969,-5.407899,2
17.721792,3.1447492,0
-0.053692468,6.8704543,1
12.715146,-2.6557577,4
9.05409,7.0776715,5
17.858786,5.3658257,0
18.648718,5.3045955,0
2.4503057,-3.716633,2
8.930856,-5.5030456,2
2.5337973,-5.7377367,2
1.704419,-5.520111,2
1.952858,-5.433504,2
1.3567951,9.27832,1
6.7631235,0.25157824,2
12.3603945,-2.373731,4
6.8090844,0.22248693,2
6.743013,0.3477852,2
2.0999157,-5.063794,2
13.0114155,-2.1563148,4
17.704964,4.126574,0
6.570551,7.3455467,5
19.160578,6.1094193,0
1.8991221,-5.4679275,2
1.9987811,-5.2182145,2
8.700953,-5.9781265,2
6.2476764,0.27365163,2
13.149744,-2.5008132,4
-6.859095,4.606665,1
12.314391,-2.5003922,4
3.075317,-4.5879173,2
2.501002,-5.9184136,2
6.480953,0.3042637,2
17.733173,4.164591,0
6.5493684,0.46654046,2
17.992203,3.1315274,0
15.320914,5.823147,0
8.766259,-6.0171494,2
17.708042,3.0920577,0
10.442426,0.48604524,4
11.725021,-1.1613858,4
1.0184114,9.320382,1
2.7033877,-5.2894106,2
10.40184,0.50919664,4
8.457039,-5.954176,2
2.177971,-5.107077,2
2.327462,-5.430121,2
0.56022,-2.1669574,2
6.378744,0.10877238,2
17.918259,5.3784003,0
2.412074,6.6390553,1
8.120172,-5.2421184,2
12.7448225,-2.6133578,4
10.684441,0.68575126,4
2.7744265,-5.2113457,2
6.7226925,0.3654682,2
2.0963912,-4.992639,2
8.725519,-5.8588395,2
2.4215593,-3.7294703,2
8.970542,-5.548469,2
2.1161683,-5.1289735,2
6.6833763,0.3391894,2
8.601132,-5.9597025,2
12.363147,-2.430312,4
12.749577,-2.3376887,4
2.4499693,-5.917612,2
6.457649,-0.042867593,2
1.9718455,-5.1842613,2
0.677612,-2.068045,2
2.9739,-5.6224318,2
17.8358,5.3263626,0
2.4899075,-5.904214,2
10.446912,0.55990046,4
2.4345706,-3.6697874,2
1.6979749,-5.4670477,2
2.5043173,-5.88911,2
6.7314343,-0.4302676,2
6.6365423,0.52640784,2
6.7391963,0.16446534,2
2.687415,-5.265153,2
-0.013305587,6.6699433,1
6.713139,0.60645527,2
-7.5450397,4.4421782,1
2.7436748,-5.269664,2
17.80048,5.320244,0
17.829258,4.104889,0
2.2262342,-3.515954,2
2.4446185,-5.2412987,2
-0.27160427,7.096299,1
13.147445,-1.8091228,4
2.3846736,-3.6595638,2
2.580284,-4.748996,2
-7.214129,5.89074,1
1.1862245,7.7279687,1
-0.062231302,6.7813926,1
18.096338,3.2197876,0
0.07514583,6.727735,1
2.7193956,-5.2589936,2
7.965321,-5.876157,2
2.8787177,-5.754187,2
17.720884,4.919726,0
6.510538,0.5422202,2
6.7600136,-0.41971067,2
0.52699596,-1.8283972,2
7.765684,-5.6648746,2
9.000156,-5.4459867,2
2.2185767,-4.9716716,2
3.3629994,-5.8400216,2
13.014937,-2.1647143,4
17.734413,4.2138906,0
12.943197,-1.7163689,4
2.469451,-5.6285915,2
6.729713,-0.24729514,2
15.343263,5.6434026,0
6.68872,0.37995973,2
9.6301775,7.6924214,5
-7.525481,4.4507413,1
-0.4240365,6.932053,1
1.0333346,9.417759,1
3.8201072,-5.8185124,2
3.2047498,-5.274971,2
1.7481216,-5.454815,2
11.99411,-1.514169,4
17.746456,4.200174,0
17.787601,3.0157404,0
17.786856,2.591619,0
1.1380594,7.77695,1
17.72519,4.182794,0
2.5195973,-5.3090463,2
17.65478,2.855316,0
10.327352,0.46660104,4
5.0349007,0.73261964,2
8.590822,-5.912981,2
2.7076962,-4.7705894,2
2.5131435,-3.7185488,2
0.7629617,-1.8421508,2
19.113304,6.115692,0
8.603826,-5.425011,2
8.477851,-5.4892054,2
11.98016,-1.482639,4
-0.11583738,6.657582,1
17.93762,5.344898,0
2.6382196,-5.600837,2
8.361955,-6.000538,2
2.7490418,-5.582884,2
10.859496,0.41562584,4
2.5957978,-5.550542,2
6.43805,0.4268464,2
12.327549,-1.6929762,4
17.666283,3.100288,0
6.641319,0.10365101,2
10.775063,0.29502758,4
8.79137,-5.9450235,2
0.42790452,9.843764,1
19.096085,4.763236,0
-0.14491765,6.7491074,1
-7.4332085,4.591001,1
6.686322,0.3455454,2
6.4861693,0.50676954,2
17.858398,2.7289805,0
12.995282,-2.408221,4
8.969011,-5.5366635,2
13.221682,-2.6519568,4
13.052918,-2.179687,4
2.3505125,-5.29658,2
0.5766321,-2.0063918,2
17.882133,2.8548365,0
12.448145,-1.7652771,4
0.5289978,-1.8576323,2
17.916227,3.2007926,0
12.61821,-2.1950748,4
12.372787,-2.377869,4
4.9413147,0.5307932,2
2.6031184,-5.6142654,2
13.040404,-2.1580243,4
1.695261,-5.509373,2
1.0355871,7.700899,1
17.665003,4.211676,0
2.3753612,-5.714637,2
2.2437055,-3.4973376,2
0.66169864,-2.135664,2
2.88555,-5.844329,2
12.503332,-2.339214,4
2.1951623,-5.457467,2
2.4825156,-3.6885226,2
3.527219,-5.724531,2
12.316043,-2.3900962,4
13.028571,-2.1925023,4
7.8060083,-5.8231907,2
6.739089,0.39717364,2
8.204744,-5.568579,2
13.198069,-2.585834,4
3.4510658,-5.3593144,2
1.7976327,-5.406499,2
10.614366,0.6102095,4
0.7082673,-2.0498257,2
17.715153,4.1433563,0
2.5332055,-5.638331,2
12.830282,-2.4090962,4
3.4544976,-5.6024284,2
2.462419,-3.6992362,2
6.7567196,0.29496765,2
17.906034,2.7005794,0
2.6533792,-5.3353333,2
0.069125794,-1.9366747,2
3.0606682,-5.570822,2
10.3987055,0.43741208,4
17.96466,2.9793694,0
0.5024465,-2.144607,2
-7.4911013,4.4795585,1
12.563395,-2.201759,4
8.777715,-5.3672075,2
3.3980453,-5.541722,2
2.9489264,-6.176625,2
18.089527,2.5703263,0
0.502652,-2.010254,2
3.548826,-5.6272335,2
2.1596632,-4.992253,2
11.959373,-1.4598178,4
0.3515991,-1.7104129,2
18.253548,6.7601275,0
2.4996827,-3.7019553,2
-0.56497097,6.84141,1
6.791964,0.2519828,2
12.353653,-2.3666165,4
9.033983,7.0654497,5
11.96465,-1.3848857,4
19.017159,6.127858,0
2.7317097,-5.296536,2
1.7367641,-5.4803634,2
17.846893,2.7221832,0
6.797631,0.24498793,2
0.08384164,-1.9634804,2
6.822524,-0.5004554,2
12.018104,-1.5817704,4
6.5091023,0.5801549,2
2.9383173,-4.706866,2
1.765809,-5.4433603,2
6.723405,0.38007846,2
2.7396913,-5.249116,2
6.326062,0.5505166,2
0.17085956,-1.9910836,2
7.9605465,-5.900823,2
12.366396,-2.3695414,4
1.712547,-5.463236,2
8.242812,-5.962708,2
6.4766507,0.48475742,2
3.560966,-5.6155844,2
0.5706649,-1.5358015,2
6.8452706,-0.528603,2
8.676838,-6.0004754,2
2.4922056,-3.6619434,2
3.8030543,-5.832528,2
0.13301407,-1.9308763,2
3.2504673,-5.827745,2
18.270164,6.66157,0
8.752332,-5.4854827,2
-0.07899759,6.6216516,1
3.3893769,-5.0030737,2
10.432359,0.41725546,4
8.650307,-6.024575,2
0.16635415,-1.8899807,2
8.77417,-5.7914634,2
2.4742126,-3.7385004,2
2.667055,-3.8589556,2
7.962361,-5.853608,2
1.1372931,7.766369,1
0.61283875,-2.0081193,2
13.169018,-2.6332197,4
0.04448985,-1.918962,2
